date,chlor_a,status,source_file
1/01/2018,,filled,ST.nc
2/01/2018,,filled,ST.nc
3/01/2018,1.815774441,filled,ST.nc
4/01/2018,2.626480579,filled,ST.nc
5/01/2018,,filled,ST.nc
6/01/2018,2.292107344,filled,ST.nc
7/01/2018,1.826892853,filled,ST.nc
8/01/2018,,filled,ST.nc
9/01/2018,,filled,ST.nc
10/01/2018,1.813467622,filled,ST.nc
11/01/2018,1.764036179,filled,ST.nc
12/01/2018,,filled,ST.nc
13/01/2018,,filled,ST.nc
14/01/2018,2.256651163,filled,ST.nc
15/01/2018,,filled,ST.nc
16/01/2018,,filled,ST.nc
17/01/2018,,filled,ST.nc
18/01/2018,,filled,ST.nc
19/01/2018,2.095252037,filled,ST.nc
20/01/2018,,filled,ST.nc
21/01/2018,,filled,ST.nc
22/01/2018,1.355842113,filled,ST.nc
23/01/2018,1.515347123,filled,ST.nc
24/01/2018,,filled,ST.nc
25/01/2018,,filled,ST.nc
26/01/2018,1.599597931,filled,ST.nc
27/01/2018,2.172765732,filled,ST.nc
28/01/2018,,filled,ST.nc
29/01/2018,2.706067801,filled,ST.nc
30/01/2018,2.771917343,filled,ST.nc
31/01/2018,4.130213737,filled,ST.nc
1/02/2018,,filled,ST.nc
2/02/2018,,filled,ST.nc
3/02/2018,2.202895403,filled,ST.nc
4/02/2018,,filled,ST.nc
5/02/2018,,filled,ST.nc
6/02/2018,,filled,ST.nc
7/02/2018,,filled,ST.nc
8/02/2018,,filled,ST.nc
9/02/2018,,filled,ST.nc
10/02/2018,2.480201006,filled,ST.nc
11/02/2018,2.616878748,filled,ST.nc
12/02/2018,,filled,ST.nc
13/02/2018,,filled,ST.nc
14/02/2018,2.333106756,filled,ST.nc
15/02/2018,2.227248192,filled,ST.nc
16/02/2018,,filled,ST.nc
17/02/2018,,filled,ST.nc
18/02/2018,3.453110695,filled,ST.nc
19/02/2018,1.971202374,filled,ST.nc
20/02/2018,,filled,ST.nc
21/02/2018,,filled,ST.nc
22/02/2018,1.377452612,filled,ST.nc
23/02/2018,0.798197091,filled,ST.nc
24/02/2018,,filled,ST.nc
25/02/2018,1.521921158,filled,ST.nc
26/02/2018,,filled,ST.nc
27/02/2018,,filled,ST.nc
28/02/2018,,filled,ST.nc
1/03/2018,3.477406025,filled,ST.nc
2/03/2018,2.073865891,filled,ST.nc
3/03/2018,,filled,ST.nc
4/03/2018,,filled,ST.nc
5/03/2018,3.310304165,filled,ST.nc
6/03/2018,2.567991734,filled,ST.nc
7/03/2018,,filled,ST.nc
8/03/2018,,filled,ST.nc
9/03/2018,2.679902077,filled,ST.nc
10/03/2018,2.082366228,filled,ST.nc
11/03/2018,,filled,ST.nc
12/03/2018,,filled,ST.nc
13/03/2018,2.22548008,filled,ST.nc
14/03/2018,,filled,ST.nc
15/03/2018,,filled,ST.nc
16/03/2018,,filled,ST.nc
17/03/2018,,filled,ST.nc
18/03/2018,2.450774908,filled,ST.nc
19/03/2018,,filled,ST.nc
20/03/2018,,filled,ST.nc
21/03/2018,3.135968685,filled,ST.nc
22/03/2018,,filled,ST.nc
23/03/2018,,filled,ST.nc
24/03/2018,,filled,ST.nc
25/03/2018,,filled,ST.nc
26/03/2018,,filled,ST.nc
27/03/2018,,filled,ST.nc
28/03/2018,1.74125874,filled,ST.nc
29/03/2018,1.706634998,filled,ST.nc
30/03/2018,,filled,ST.nc
31/03/2018,,filled,ST.nc
1/04/2018,1.775720239,filled,ST.nc
2/04/2018,1.739961743,filled,ST.nc
3/04/2018,,filled,ST.nc
4/04/2018,,filled,ST.nc
5/04/2018,2.450109482,filled,ST.nc
6/04/2018,2.505776405,filled,ST.nc
7/04/2018,,filled,ST.nc
8/04/2018,,filled,ST.nc
9/04/2018,2.205510855,filled,ST.nc
10/04/2018,,filled,ST.nc
11/04/2018,,filled,ST.nc
12/04/2018,,filled,ST.nc
13/04/2018,,filled,ST.nc
14/04/2018,3.284485817,filled,ST.nc
15/04/2018,,filled,ST.nc
16/04/2018,,filled,ST.nc
