date,chlor_a,status,source_file
2018-01-01,,filled,ST.nc
2018-01-02,1.868931651,filled,ST.nc
2018-01-03,1.374867439,filled,ST.nc
2018-01-04,2.31398654,filled,ST.nc
2018-01-05,,filled,ST.nc
2018-01-06,2.533856392,filled,ST.nc
2018-01-07,2.945786476,filled,ST.nc
2018-01-08,,filled,ST.nc
2018-01-09,,filled,ST.nc
2018-01-10,2.246414185,filled,ST.nc
2018-01-11,2.840855122,filled,ST.nc
2018-01-12,,filled,ST.nc
2018-01-13,,filled,ST.nc
2018-01-14,2.255233049,filled,ST.nc
2018-01-15,,filled,ST.nc
2018-01-16,,filled,ST.nc
2018-01-17,,filled,ST.nc
2018-01-18,2.102594137,filled,ST.nc
2018-01-19,3.34174633,filled,ST.nc
2018-01-20,,filled,ST.nc
2018-01-21,,filled,ST.nc
2018-01-22,2.847202539,filled,ST.nc
2018-01-23,,filled,ST.nc
2018-01-24,,filled,ST.nc
2018-01-25,,filled,ST.nc
2018-01-26,2.610589981,filled,ST.nc
2018-01-27,,filled,ST.nc
2018-01-28,,filled,ST.nc
2018-01-29,2.742990732,filled,ST.nc
2018-01-30,,filled,ST.nc
2018-01-31,7.522808075,filled,ST.nc
2018-02-01,,filled,ST.nc
2018-02-02,,filled,ST.nc
2018-02-03,,filled,ST.nc
2018-02-04,,filled,ST.nc
2018-02-05,,filled,ST.nc
2018-02-06,3.537085295,filled,ST.nc
2018-02-07,,filled,ST.nc
2018-02-08,,filled,ST.nc
2018-02-09,,filled,ST.nc
2018-02-10,3.054718733,filled,ST.nc
2018-02-11,8.413506508,filled,ST.nc
2018-02-12,,filled,ST.nc
2018-02-13,,filled,ST.nc
2018-02-14,2.400705576,filled,ST.nc
2018-02-15,2.411132097,filled,ST.nc
2018-02-16,,filled,ST.nc
2018-02-17,,filled,ST.nc
2018-02-18,1.43189621,filled,ST.nc
2018-02-19,1.936890721,filled,ST.nc
2018-02-20,,filled,ST.nc
2018-02-21,,filled,ST.nc
2018-02-22,,filled,ST.nc
2018-02-23,,filled,ST.nc
2018-02-24,,filled,ST.nc
2018-02-25,,filled,ST.nc
2018-02-26,,filled,ST.nc
2018-02-27,,filled,ST.nc
2018-02-28,,filled,ST.nc
2018-03-01,,filled,ST.nc
2018-03-02,3.659039736,filled,ST.nc
2018-03-03,,filled,ST.nc
2018-03-04,,filled,ST.nc
2018-03-05,2.820571899,filled,ST.nc
2018-03-06,3.380724669,filled,ST.nc
2018-03-07,,filled,ST.nc
2018-03-08,,filled,ST.nc
2018-03-09,3.023304701,filled,ST.nc
2018-03-10,3.23865056,filled,ST.nc
2018-03-11,,filled,ST.nc
2018-03-12,,filled,ST.nc
2018-03-13,,filled,ST.nc
2018-03-14,,filled,ST.nc
2018-03-15,,filled,ST.nc
2018-03-16,,filled,ST.nc
2018-03-17,2.090001822,filled,ST.nc
2018-03-18,2.719923019,filled,ST.nc
2018-03-19,,filled,ST.nc
2018-03-20,,filled,ST.nc
2018-03-21,2.248067379,filled,ST.nc
2018-03-22,,filled,ST.nc
2018-03-23,,filled,ST.nc
2018-03-24,,filled,ST.nc
2018-03-25,,filled,ST.nc
2018-03-26,,filled,ST.nc
2018-03-27,,filled,ST.nc
2018-03-28,4.436665535,filled,ST.nc
2018-03-29,2.869674683,filled,ST.nc
